topic_id,name,description,n_emails,representative_emails
T1843,Vacation Requests,A set of emails in which employees request specific vacation days and receive manager approval.,43,"[""fd8ab1cb02618ab2"", ""08c1be799a41ad93"", ""896760a86a59efb9"", ""d3261b562299f310"", ""e950e70f0eaad2b1""]"
T1844,Ivanhoe Station ESD,Discussion of costs and decisions regarding upgrading or abandoning emergency shutdown systems and equipment units at Ivanhoe Station.,11,"[""8c7565a3f6206204"", ""60185a795e821a7c"", ""c5a348f72fee5fd6"", ""11245e5877707cd0"", ""88e85d8aad9f0104""]"
T1845,MOPS Outage Response,"Internal communications regarding the MOPS system outage, repair progress, weather-related delays, and status updates among team members.",16,"[""386cf9bd6bb91a0d"", ""eab5cd239d0a7642"", ""325593eede129409"", ""e5881d96dae927b6"", ""4221ec253a1a3b0c""]"
T1846,Pick Sheet Banter,"A personal email exchange about selecting items for a pick sheet, including a jock strap and an aloe vera plant.",13,"[""043ef90cd349825f"", ""1a4f662d02a84317"", ""97a758e3d80e8d8c"", ""9421988b1e4b823a"", ""92d8d95f59169519""]"
T1847,South America Travel Plans,"Emails coordinating personal and business travel to Sao Paulo and Buenos Aires, including golf outings and meeting schedules.",12,"[""2b1e88254ee5148f"", ""f81b9d39bec133b5"", ""bae4fe9b415cf44a"", ""ec857e3e1d7503cf"", ""b2127aa1f718084a""]"
T1848,Northwestern Transaction,"Internal Enron communications discussing a Northwestern business deal, including revenue recognition, financing options, counterparty clawback provisions, and contractual agreements.",47,"[""757f28d3d985d188"", ""8c8017eef372d64f"", ""ed4b733559cc6764"", ""632ff1cd80204efc"", ""7765685f23138b85""]"
T1849,Pipeline Pigging Operations,"Coordinating and scheduling pigging operations to inspect and maintain gas pipelines, particularly the TW 24"" Panhandle Lateral and related sections.",24,"[""278799c66a2e7296"", ""ed138febc3a09361"", ""7dfa0b496ace8029"", ""9bc07c2a1d10d796"", ""e77beb399f8e93ff""]"
T1850,Salmon Energy Financing,"Correspondence regarding financing arrangements, payment schedules, and contractual agreements for the Salmon Energy project between Enron and GE.",72,"[""a6d190e5da43d89c"", ""67392a74e93fde4e"", ""c83ef5d984e1262d"", ""c77c08fc9bbd449c"", ""fe1d3517d79ce364""]"
T1851,GE Guaranty Documentation,"Email exchanges regarding GE guaranty documentation, legal opinions, and letters of credit between Enron and external legal counsel.",28,"[""6cd4d66de90a1ef1"", ""b5c84e0738bbb404"", ""05add04be9e4cc37"", ""0330f36a105da87b"", ""169bcc1a9006807a""]"
T1852,Meeting Scheduling,"Coordinating scheduling and logistics for regulatory, tax, legal, and accounting meetings.",17,"[""73aa96fb0177d42e"", ""2aa5b825c83a2c34"", ""5818d16bd20d378c"", ""52171d5d8f827a67"", ""d805749bffe4b9b0""]"
T1853,Escrow Agreement Management,"Internal and external communications about reviewing, revising, and signing escrow agreements and disbursement instructions.",58,"[""b6206c8f602d991f"", ""d053ae34710b15a5"", ""5256b013e9478296"", ""8051972abeb401b6"", ""a8bedfcd13baec37""]"
T1854,Account Closure Management,"Discussions about identifying and closing inactive futures trading accounts, including audit processes and coordination with traders and book administrators.",16,"[""8145f441934e7268"", ""22f51c39dd7912ba"", ""532b9aad3395cf22"", ""9a37a53a40a0d087"", ""666a3aadec0b3b27""]"
T1855,Office Visit Coordination,"Informal workplace communication about scheduling visits, coordinating meeting times, and sharing office or floor locations among colleagues.",17,"[""c18d3afe29abeaec"", ""02a5a4477e95dcda"", ""7a31360407a6ed3f"", ""b3538625246463d6"", ""14b11f8a0b85de11""]"
T1856,Organization Announcement Drafts,"This topic covers internal communications regarding the drafting, review, and distribution of organizational announcements and memos.",38,"[""f9721cbde38b0c58"", ""556021ae0094ec20"", ""609d0cb4cf05b6ad"", ""02f1b6a374c566d5"", ""167282003f7d95cc""]"
T1857,Superior Water Gas Deal,"The emails discuss finalizing, confirming, and executing a gas supply transaction with Superior Water Light & Power, including generating GISB confirmations and resolving pending legal issues.",12,"[""f58ee873a4cf3601"", ""e417c15642cd11bb"", ""5f47567f3afe81fa"", ""ae02ed0fac7ba902"", ""2944a3570ab4cc80""]"
T1858,EOL Gas Contracts,Internal review and finalization of End-of-Life gas firm contracts and their general terms and conditions at Enron.,18,"[""e8defb778c471096"", ""2415dd85d5234e77"", ""4dbba3b2ca686cbb"", ""71ae9f23d62741f6"", ""a249a7a7c9a5ef78""]"
T1859,Station Overhaul Planning,"Coordinating maintenance outages and installations at gas pipeline stations, particularly Station 4 overhaul planning and throughput adjustments.",52,"[""bec931a716747c43"", ""d8a9bb2aaefa2fab"", ""3df9c84ed4ec245b"", ""71cfea8ab0d6e05f"", ""3dae3b09b518d6d5""]"
T1860,Outage Coordination Meetings,This topic covers scheduling and coordination of commercial review meetings for planned plant and pipeline outages.,59,"[""f7d49723af9316bf"", ""3f0784659d2dceb7"", ""0059ed32e56b17dc"", ""9a42679810bb064f"", ""8a65f57b9715b595""]"
T1861,Houston Trip Coordination,"Emails discuss scheduling and coordinating travel to Houston, including dinner plans and meeting arrangements.",17,"[""480e819815a34d67"", ""02ca37c3a591d93f"", ""e4c1761842401440"", ""1ce87fd8ba05bcab"", ""7c995c28355c7666""]"
T1862,Houston Visit Coordination,"Emails coordinating travel arrangements, meeting schedules, and office logistics for personnel visiting the Houston office.",37,"[""37c290788368a8f7"", ""f898ecc119212c62"", ""9f89c24b10ebee23"", ""b095c0ba73b7c4e7"", ""53cc188bb574b5ab""]"
T1863,Meeting Scheduling Issues,"This topic covers communications regarding meeting coordination, rescheduling, cancellations, and apologies for missed or delayed meetings.",13,"[""cda7a3d7ad903267"", ""338e25822e1a9321"", ""bddef1e795837661"", ""ed1e1c366b31b196"", ""a4399fc1956595a7""]"
T1864,One-Part Rate Billing,"Discussions about billing issues with one-part versus two-part rate structures on gas transportation contracts, including invoice corrections and tariff rate calculations.",33,"[""96f34b07b22f2495"", ""e4282fc1d8962c36"", ""7e775135aae495d4"", ""bbb2b24c22f721a9"", ""d12d53b4d88ed3d1""]"
T1865,Holiday Greetings,Email exchanges containing seasonal holiday greetings and well-wishes for the New Year and Christmas.,24,"[""200e22cd2f67915e"", ""1271236c78285ade"", ""0c4d5a17a2356d73"", ""b9700b06cc64a889"", ""9031801b30225664""]"
T1866,Boat Maintenance Banter,"Informal email exchanges about boat manufacturing, cleaning, and scheduling social activities.",12,"[""0ee4f8bc03fa230d"", ""181174eccf03bb1a"", ""4d52a97d0dd7e2f4"", ""75a8c5f66e9d88fc"", ""1726402b87d6f824""]"
T1867,Redfield Project Financing,"Discussion of accounting treatment, financing structures, and risk assessment for a long-term oil well deliverability improvement project with Halliburton.",10,"[""cb40d52bdf319658"", ""fe767b469364acd7"", ""e2ab0b6311544ef8"", ""333bde1b62e54379"", ""fffbebf1b394ea3f""]"
T1868,InterGen Transaction,"This topic covers the InterGen deal including equipment procurement (turbines, transformers), legal document review, and transaction closing procedures.",264,"[""274e553f8da9f75d"", ""019afbe8314c1b7c"", ""1456dd9ce97191bc"", ""8d8b9a8c94df78eb"", ""305b46ad8b10def9""]"
T1869,BNA Environment Reports,"Emails containing forwarded daily environment reports from BNA, Inc., providing highlights and table of contents for environmental news.",35,"[""7dc84f84e0c96cbb"", ""4591f30ff98f5bbf"", ""081a327e8d5a82b3"", ""6ebed49dd03d174b"", ""1fbe02ca8548e021""]"
T1870,Timesheet Administration,"Administrative communications regarding employee timesheet submission, due dates, and time-off reporting.",54,"[""a387158ef24a7a33"", ""908841e4a6805d29"", ""5629ef0d7ec413ce"", ""80af7767f6065dc3"", ""a7d2173ff976f6a8""]"
T1871,Auction Platform Development,Internal discussions about designing auction procedures and platform infrastructure for trading financial products like emissions credits and synthetic gas storage.,24,"[""ef1df59aa1469fd1"", ""e40b65f30b3acfad"", ""da939530da10301c"", ""02870280bd3db990"", ""9250d10df6f30623""]"
T1872,Western Frontier Pipeline,"Discussion about Williams' Western Frontier natural gas pipeline project, including open season results, project design, and market potential for connecting Rocky Mountain supply to Mid-Continent markets.",28,"[""45f2280551c3885f"", ""73df795fe96d6b67"", ""4e84fede5737152e"", ""931654cabf6d8719"", ""c3d73c2210a0245e""]"
T1873,Law Firm Coordination,"Legal communications and document handling between multiple law firms (Paul Hastings, King & Spalding, Freshfields) regarding business transactions like turbine purchases and guaranty agreements.",44,"[""d94f8ed4e7fa4243"", ""ed1e26fbd679a73b"", ""040f387ff6a8640e"", ""8ec30cfabffe610c"", ""21c050552ba6c670""]"
T1874,California Natural Gas Supply,"This topic covers natural gas supply issues and demand for electric generation in California, including market volatility, supply curtailments, and regulatory attention during the 2000-2001 energy crisis.",31,"[""460b31c00442c53e"", ""33e77fd8fce8e7e3"", ""18f49e597be33ffc"", ""d541bc868e35ce27"", ""075f5dc1b6afa1ae""]"
T1875,Timesheet Submissions,"Employees report their timesheet details, including regular hours, vacation plans, and specific work periods, to coordinator Ava.",11,"[""c7fde322f55d544d"", ""8801b13822ca41e5"", ""31fa4d32227c91a5"", ""28d1091e5a329407"", ""ed06736b9a3554b1""]"
T1876,Icon Timesheet Administration,"Communications from Icon Information Consultants regarding timesheet submission, payroll processing procedures, and employee database updates for Enron staff.",16,"[""1e8a7e36b5351a79"", ""b85f8b00f1a8b713"", ""3f120e1af1250b8c"", ""37a591f4bce905da"", ""b52a8cd6fe910ad2""]"
T1877,Out of Office Coverage,Notifications about employee absences and designated operational contacts during vacation or travel periods.,28,"[""0ba7cbff23deeecc"", ""7f183743a748e410"", ""4121ab28eb16f501"", ""604bff14b62014f8"", ""084e83fc6d0d1553""]"
T1878,Vehicle Sales,"Discussions about buying and selling used vehicles, including pricing negotiations, trade-in valuations, and transaction arrangements.",97,"[""91a16fe359c577cc"", ""d2d902b293a28062"", ""e9ecf7d03ad0fddc"", ""58e7cbc5f46e830b"", ""50f26710a7dbf286""]"
T1879,Car Dealership Promotions,"Emails from car dealerships offering pricing, special offers, and follow-up communications with prospective buyers.",57,"[""f799783e4bdb0012"", ""d771a662ed9e8483"", ""defa35df9bd50f12"", ""459b2804931c1857"", ""d8b1d3a867932b9b""]"
T1880,Delta Power Transaction,"Coordination of legal document execution and delivery for the Delta Power deal closing, including signatures, membership certificates, and letters of credit.",55,"[""f52c290d51a4dd81"", ""776be64ad97e2711"", ""49f8732e61c59d99"", ""bd4064a5a559f60e"", ""3c8ec2aa209d59dc""]"
T1881,Salmon Legal Governance,"Legal and corporate communications regarding Salmon entity governance, including resolutions, officer appointments, and security agreements.",10,"[""25ebb6c27074becc"", ""97f27df8ba57e5b9"", ""1fae07c0a13e2044"", ""1cc0161ddbe60ecc"", ""4d5883511b30942f""]"
T1882,Energy Executive Recruitment,"Executive search firm recruiting director-level candidates for energy industry positions, including meeting coordination and travel arrangements.",15,"[""28004b16a92977a8"", ""193da82caad3809f"", ""7dc30ef205090c60"", ""a85ebea8539ac6ea"", ""f9a3f30201aacac9""]"
T1883,Executive Communication,"Communication between Enron executives regarding scheduling, board matters, and operational coordination.",15,"[""d37e8373a05f24e1"", ""a714f96e2234a3e1"", ""6985de50351efced"", ""e8a8f50d4885a890"", ""7cb368437cb3e8dd""]"
T1884,Appreciation and Scheduling,Personal thank you messages and coordination of meetings or visits directed to Richard Shapiro.,69,"[""fd1f7f18e43583e0"", ""0feb24d2495840cb"", ""332d4f62a2d5715d"", ""963bc15c03325599"", ""602f22958c0178db""]"
T1885,TurboPark Invoicing,"This topic covers invoicing procedures, financing coordination, and document management for TurboPark power projects at Enron.",20,"[""90845a878a4aa8f8"", ""9b5d38306ebb2f6d"", ""e034672e10342844"", ""a7c4c7b557129ee8"", ""b29548c777fe9582""]"
T1886,LV Cogen Turbine Agreement,"Internal and external communications regarding the negotiation, drafting, and execution of a turbine purchase contract for the LV Cogen power generation facility, involving multiple stakeholders and legal review.",40,"[""dc96e5b1ead425a9"", ""e76b53aa5a64ae65"", ""9688c9932a836b52"", ""d767bf9fbf54c420"", ""61f8ad9495cca581""]"
T1887,Margin Credit Lines,"Negotiations and status updates regarding margin credit lines with banks including Bank One, ABN Amro, and Smith Barney.",28,"[""ef80406e120bb271"", ""e3eed3cf429bb0dd"", ""2ddca65f2d18b0fc"", ""2bf98575f6da752e"", ""5b5581986f643ded""]"
T1888,Vacation Time Management,"Internal communications about employee vacation balances, carryover requests, and time-off reporting.",48,"[""1136cd409d9bd48c"", ""ade8086cc91ef753"", ""6f6dee6e806f5e01"", ""4615654fb97cdfab"", ""d84e0c2c3ea11c75""]"
T1889,FIMAT Canada Account Setup,"Email exchanges about opening accounts, negotiating customer agreements, and completing required documentation with FIMAT Canada for derivatives trading.",18,"[""3d0af36ca712b61e"", ""ec07885a20371f7e"", ""5ff7887335bc0ee1"", ""3e3665f5f8f0539f"", ""d1ca384dbb6c4ef9""]"
T1890,Fimat Trading Lines,"Internal Enron discussions about managing Fimat trading and credit lines, including usage limits, cost concerns, and efforts to increase trading volume with the counterparty.",11,"[""e9263693ad16e88e"", ""72ef29722bc36eaf"", ""dac0a590e8b066ce"", ""6b2b938e5282ec05"", ""c3a5ca83e25b51b0""]"
T1891,Pipeline Operations Notices,System notices from Northwest Pipeline regarding scheduled maintenance and electronic capacity bidding.,29,"[""5fe915b25d39e8e2"", ""174f2a5b6947fe9c"", ""a4bcdc6516985b32"", ""47d24c556e583518"", ""85e7be016357eb8f""]"
T1892,Affidavit Revision,Legal team collaboration on revising and commenting on Alan Comnes' affidavit before a conference call.,12,"[""43ca89ba690611ff"", ""fa7d2db3fc2f5c1d"", ""4ba0c6aa0e9fd3b0"", ""6473ce9e433e8738"", ""c8333c5574f01c09""]"
T1893,TW Contract Status Updates,"Emails provide periodic updates on the status of TW transport contracts, detailing processing, tendered, and executed agreements.",52,"[""94fe5b310da706b1"", ""ddd9adb1eb5ac6e5"", ""ff76270aae230a16"", ""fae959ac22f6ec7f"", ""e1d86c59e29e1a65""]"
T1894,Contract Administration,"Handling contract requests, amendments, and outstanding contract status for energy service agreements.",11,"[""eaf218bd5b233713"", ""03f8e679405a9ff1"", ""db517b7f4e2ea0dd"", ""4f32f8dbcc978cd7"", ""6ad27f8ad556d844""]"
T1895,Energy Data Sharing,"The cluster covers messages about requesting, preparing, and sharing natural gas and electricity price data with internal and external parties.",39,"[""a372cac633f4e441"", ""2c9601b27c2885b4"", ""99dd2aec1ebaf091"", ""81d8c8bf8cacbd39"", ""4f1b9b4f8bc806a6""]"
T1896,University Student Visits,Coordinating arrangements for Rice University business school students to visit Enron for presentations and networking events.,29,"[""26173ec363eecf79"", ""bbfcc209e4347eb6"", ""dea1f8b7161b4216"", ""1a11837587de6ae7"", ""98157ecfb8d69c16""]"
T1897,Rice/Enron Finance Seminars,Announcements and coordination for the Rice/Enron finance seminar series featuring academic speakers.,22,"[""c722f16f9ea13500"", ""4b9d47a6afb36ab7"", ""4f7e5890ff849c98"", ""9633ea21048d2e98"", ""e1406f24a74ee175""]"
T1898,GE Indemnity Negotiations,"This topic covers discussions and revisions to General Electric contract terms, specifically regarding indemnity and limit of liability clauses.",13,"[""de36b2605cc2c545"", ""813331e50332890c"", ""829c7e01111af224"", ""e86dc3ccc2f10515"", ""2e1250bcc89419aa""]"
T1899,Expense Report Approval,"Internal communications regarding the approval, submission, and processing of employee expense reports.",79,"[""7bec5f78292b8af6"", ""cb6f802e016e6819"", ""73113dbb2419c7fa"", ""890591995014ca28"", ""55edb4f05dc5df47""]"
T1900,Presentation Coordination,Internal coordination and sharing of business presentations and talking points among team members for meetings and pitches.,20,"[""c7ad8c4c273bd9aa"", ""136ff3941ff4791d"", ""094e52bdf02e1355"", ""407e39f3f9b37934"", ""e646d82a373969a8""]"
T1901,Personnel Changes,"Internal communications about staff transitions, including employees leaving the company and administrative coordination of personnel matters.",10,"[""873a7e9fab570bf4"", ""49ae88419dd33e27"", ""8d28ee2bae1e166f"", ""59f4753e7a033414"", ""85d25a44b32d8faf""]"
T1902,Doctor Appointments,Employees notifying about scheduled doctor appointments and requesting time off.,30,"[""cca0d3946bb53a72"", ""38a00c0b1c0951e7"", ""24bb2f947aa60707"", ""49c5121c8e5ae972"", ""d78acd4294efcf1f""]"
T1903,Trading Track Interviews,This topic covers the coordination and scheduling of trading track interviews for external and internal candidates at Enron.,225,"[""8978b1028a868669"", ""88fecb7192885d0d"", ""e2a6262eebd006a4"", ""f17c133921c36eb5"", ""f8bbcd715aff53ee""]"
T1904,West Gas Rotation,"Discussion about Brent Dornier's potential rotation to the West Gas trading desk at Enron, including scheduling meetings and logistics.",18,"[""4562b1b5d629200c"", ""6902e6c5154fe3ff"", ""1fd5c72410282a06"", ""4ef52553289981d3"", ""6d6ae294d637e860""]"
T1905,Weather Class Announcements,"Internal emails announcing Enron Research Weather Team presentations, class schedules, and related attendance inquiries.",14,"[""68a9161a67155dd5"", ""cb21889cc4179566"", ""9a99a23834fdf465"", ""c3f3114f8ac74b49"", ""ec03de2b4d2a4ccd""]"
T1906,Out-of-Office Notification,Emails notifying recipients that the sender will be out of the office and providing alternative contact information.,13,"[""6ea520469ddec4ef"", ""d07ec69ee4c0b0bd"", ""0e3583532186783f"", ""2548bb28595a6b98"", ""a54aee9b5d23c48b""]"
T1907,Casual Professional Exchange,"Informal supportive communications between colleagues discussing work status, availability for calls, and general well-being.",40,"[""e7fcdb9f728896c6"", ""d0731d0ae399162a"", ""0e53a7ac6bebcdf7"", ""39e293dce31afc4c"", ""e1199aa35d14d6fa""]"
T1908,Mark Baldwin Contact,"Enron employees are attempting to locate and obtain updated contact information for Mark Baldwin, who recently changed companies or phone numbers.",17,"[""9c0f08a98e5ea55e"", ""f51b166624e27342"", ""e12476dbf02ec6b9"", ""f07357f9f3aa79ad"", ""e8a9b97aa9fc512e""]"
T1909,Japan Job Opportunities,"This topic covers recruiting efforts, job opportunities, and candidate interest in finance positions in Japan.",10,"[""6d3b7818115e4d73"", ""7faaddb55ad0c477"", ""d581e0455ee78e46"", ""a6fe066a10d14ef9"", ""2410125fb0291b3d""]"
T1910,Out-of-Office Requests,Employees notify colleagues of upcoming absences and request coverage for their desks.,15,"[""d81020f77467ecd8"", ""1d74ef3cddc2c0c5"", ""6026828c279e9a2a"", ""0e2b16187c619b18"", ""ead46dbdf8276766""]"
T1911,GE Contract Management,"Internal communication about tracking, locating, and transmitting General Electric contract documents and signatures within Enron.",11,"[""2066808ff4fb16bc"", ""f2247207cb7bb872"", ""afff8482acb57d7e"", ""297809127ad29efd"", ""46c106bc9ebcdae5""]"
T1912,United Way Deductions,Internal communications about modifying or discontinuing United Way charitable contributions deducted from employee paychecks.,16,"[""58e8df7866645184"", ""1522a9819d9e8dc4"", ""9f71902f1339203d"", ""56c0fe02f695cc6d"", ""bef385c80bc7ecc5""]"
T1913,Payroll and Compensation,"The emails discuss payroll processing, direct deposit setup, vacation pay, and related tax and benefit calculations.",12,"[""229747dcfa562c0b"", ""b5c0aad79f4aca1a"", ""49e428dd3dd27bed"", ""cf5def3e8b97cfb1"", ""64fc55b57ef5cccc""]"
T1914,Tax preparation services,PricewaterhouseCoopers assisting individuals with tax return preparation by requesting financial documentation such as stock purchases and charitable donations.,98,"[""cfd9c7e3f66b5189"", ""0c5a44d26119727e"", ""260b70202f4ba998"", ""a53307dc9240f6ed"", ""4a168f21d45fe14c""]"
T1915,Texas Power Markets,"The cluster includes announcements and discussions about Texas power market restructuring, competition reports, and ERCOT-related conferences.",32,"[""001c501e2bd93452"", ""8a9a7c7ef1da1a7a"", ""590f2a18acf4d7a0"", ""c0edc2db8d9a0e0a"", ""00dbbae275294ea2""]"
T1916,Promotion Congratulations,Messages congratulating employees on their promotions to higher positions within Enron.,215,"[""045380571b2e6855"", ""76397d879d41ef97"", ""9807086ea6d93058"", ""1b15709dd592cc01"", ""37d6e93f07f993ed""]"
T1917,RRSP Management,"Managing RRSP (Registered Retirement Savings Plan) contributions, allocations, and account information for an employee relocating to Houston.",21,"[""794de648e79570f7"", ""9a47e94bfe497735"", ""3d395982504a378d"", ""7b28c07a64b85e28"", ""124b7a4bd188c1d6""]"
T1918,RBC Fund Transfers,This topic covers communications regarding fund transfers from Canada through RBC Dain Rauscher and related investment account management between RBC representatives and Enron employees.,16,"[""c1c16e2b4f449a74"", ""af8a9fac1be67e0e"", ""933955623b3650ad"", ""81dad6efa88bea6f"", ""0216e00ee73d1102""]"
T1919,LM 6000 Procurement,"Discussions about the procurement, delivery scheduling, and allocation of LM 6000 gas turbine units for power generation projects.",97,"[""f18a2f2654294c4d"", ""3bf16b9593ed0a61"", ""f8e3df8470b247c8"", ""66b2fc5b90b20d77"", ""50364bcee0979d0e""]"
T1920,Holiday Scheduling,"Employees discussing their preferences for working or taking time off during Thanksgiving, Christmas, and New Year's holidays, including vacation requests and holiday pay considerations.",10,"[""fa16d27e5465fe0a"", ""e7d2510c074a82b4"", ""047d9ede6a59b367"", ""f01ab897de23b7d6"", ""4c5d652b5eb33a18""]"
T1921,MBA Career Events,"Announcements about finance club firm nights, resume seminars, and financial reporting conferences for MBA students.",25,"[""e37bdcda046923d5"", ""58355ef4a2404ccc"", ""26ef55e6cb17e824"", ""b0e4fec02450d1e6"", ""c86e9b022573696a""]"
T1922,ERCOT Operations Coordination,"Internal coordination and management of ERCOT physical delivery operations, including QSE boiler plate documentation, LSE account management, and cross-departmental meeting facilitation.",86,"[""b4eb6d10bbb1691e"", ""5c10dfaed9dfd34a"", ""be41fb1cd2b73367"", ""9a59726b63992981"", ""46671db9e016938e""]"
T1923,ERCOT Settlement Updates,Emails notify recipients of ERCOT replacement invoices and resettlement statements for various trade days.,11,"[""bf19221afc9f9dd6"", ""85a4b6f4e052c701"", ""ab7d800ff9501fc3"", ""84f1372a499e6509"", ""d23d62a9635f01fd""]"
T1924,Mexico Energy Reform Engagement,Communications between Enron executives and Mexican government officials regarding energy sector reform and private sector participation.,23,"[""0faa3b75140728c9"", ""1f781285c7f84c8b"", ""a64ab2e99156a6b5"", ""e3189789d081874d"", ""7efb8ce8c7e41ca1""]"
T1925,Management Leadership Practices,"This topic covers management strategies, leadership development, team building, and organizational effectiveness in corporate settings.",10,"[""0b488e8662068a53"", ""f52ad4d5d33de7a6"", ""45706669746b2db2"", ""e6afd79a6f5c36f3"", ""c4378d705b84decc""]"
T1926,World Economic Forum,"Invitations and arrangements for Enron executives to attend World Economic Forum events, including the Energy Governors Meeting and related sessions in Davos.",24,"[""6ef917f591ddf7d1"", ""f8b5fbd03df33c20"", ""8027ef2bcea053ea"", ""c2e8bb4fb6f84c85"", ""5df794944129f59f""]"
T1927,House Hunting,Coordinating real estate property viewings and discussing home buying decisions between two parties.,19,"[""70acc31e6941e488"", ""7fe11af10114726a"", ""0d7aa037199e2cb6"", ""908f803da7e855e2"", ""0868999e99149ca5""]"
T1928,Weather Group Recruitment,Recruiting and interviewing candidates for Enron's weather risk management and trading group.,20,"[""a7bc9b467e1e540b"", ""515755314faa4bfd"", ""1d0c4581d34b49fe"", ""1321077eec47e8c2"", ""2ca1a55d7b810f24""]"
T1929,Real Estate Transactions,"Discussions about residential property purchases, including inquiries about specific houses, price negotiations, property taxes, and market conditions.",23,"[""48b4d836fdbb9be4"", ""c7a31e22cdad59f7"", ""61a4c621db8d9fa0"", ""f661b417068aaec2"", ""eee8f2cd74c94ea9""]"
T1930,Boat Purchase Inquiries,"This cluster contains emails discussing interest in buying boats, including inquiries about specific models, dimensions, and sale offers.",15,"[""a86e0ad910282cb2"", ""87a24333ba27dcaa"", ""321da92e676bc073"", ""ce495d3227445fa8"", ""afac9f7934f94f73""]"
T1931,VP Candidate Process,"This topic covers discussions about Vice President candidate recommendations, the VP approval process, and concerns about adherence to established procedures for executive appointments.",47,"[""4d955dbff7a23cf8"", ""714dcbe13a2f1c9f"", ""7c5bdce59bcf709c"", ""e8a772f61e3fc4f0"", ""d4bfb8c836595de9""]"
T1932,RFF Communications,"Internal and external communications for Resources for the Future, including media coverage tracking, board updates, newsletters, and donor cultivation events.",11,"[""c82dc176e2464526"", ""deca6eb71142fb9a"", ""c695e8faae9d5765"", ""302f4c883dbdc805"", ""c0307ed8a42172c3""]"
T1933,Application Service Providers,"This topic covers announcements and discussions about Application Service Providers (ASPs), including product launches like the iCan Provider Suite, market expansion, and industry trends.",11,"[""f0b4b3e11e8aba74"", ""bc55d581c2767a75"", ""b0603a80c8f310de"", ""4c46ad3990963861"", ""fa1d17dab435b703""]"
T1934,Sales Effectiveness Webcasts,"Emails promote webcasts and resources focused on improving sales effectiveness through knowledge sharing, channel distribution, and CRM.",22,"[""2e1ed2487cc1fef8"", ""834372e56c1ace1d"", ""0d5198bec9811ff1"", ""bcbcb480212901ea"", ""734695eab816630e""]"
T1935,Conference Call Scheduling,"Emails coordinating conference call logistics, including scheduling, rescheduling, and sharing dial-in numbers and PINs for various projects.",13,"[""73c35a342f8243d2"", ""5812f710d233900b"", ""22b1d12222eef424"", ""977edcf69539a00e"", ""fdd5ec4c7109daf2""]"
T1936,Project Crane Deal,"Internal communications regarding the Project Crane business transaction, including deal structuring, employee matters related to change of control, and scheduling of benefit/tax meetings.",10,"[""016d5f71017c014d"", ""a156ba6a81e53d4c"", ""7300041db5470744"", ""dce6d2a5925be1c2"", ""6cca9e2284b923e8""]"
T1937,Darwin Awards forwards,Emails forwarding Darwin Awards stories and bizarre anecdotes among Enron employees.,10,"[""a01b8be560264c28"", ""61c962048c876451"", ""0bbe2f42722236ae"", ""98d06cf79f11de2c"", ""461be40061d4604e""]"
T1938,Weather Forecast Updates,Internal weather forecast updates providing temperature predictions and weather pattern analysis for various regions across the United States.,36,"[""f28d35da2ac234ce"", ""08690c7feced290a"", ""16c4f020a41cbc65"", ""b2fe0698fd89a6cd"", ""64941e477f36ad78""]"
T1939,Conference Speaking Requests,"Managing speaking engagement requests for Jeff Skilling at energy industry conferences, including scheduling coordination, declined invitations, and alternative speaker recommendations.",18,"[""c90f826a6f990d23"", ""76ebf05d83f2e3ff"", ""bfc72f35c6a78af3"", ""d76db358fd39c53d"", ""0df130bc84c63ed9""]"
T1940,Conference speaking invitations,Emails inviting senior executives to deliver keynote speeches at technology and business conferences.,22,"[""6cc923fa5ed334dc"", ""4bae5642493abfc8"", ""bb9dbdbc37cb7d6a"", ""2054439f40c70d69"", ""6cacbe505b306e3d""]"
T1941,CFTC Regulatory Compliance,"Discussion of Commodity Futures Trading Commission (CFTC) and Commodity Exchange Act compliance requirements for OTC derivatives, swaps, and international trading activities.",14,"[""c9b1a66c724d5672"", ""2f9ffdd3c2cca96e"", ""ff284a8212a35125"", ""ffc3f04308088f84"", ""b686f4fddd02da9a""]"
T1942,Advisory Council Meetings,"Coordination and preparation for Enron's external advisory council meetings, including inviting guest speakers and organizing presentations on policy and business topics.",18,"[""9777377fcac75db3"", ""ca3bae7ef439d162"", ""61746a2cc9942584"", ""630b90f7c0300cce"", ""c79c3537d9b8936b""]"
T1943,Ken Lay Scheduling,"Coordinating Ken Lay's meetings, travel arrangements, and executive schedule logistics.",124,"[""535eec2516a06aac"", ""4e73a412ef6533b8"", ""01b3f27c133b91e3"", ""cf85250ec32b63d9"", ""ed827e3bda8490a7""]"
T1944,Out-of-Office Notifications,This cluster consists of automated out-of-office reply messages indicating employee absences and alternative contacts.,175,"[""4a932ec1953cb740"", ""a3260b02f3680a1b"", ""1c0b8d027bf5f08c"", ""c846b93699b0e555"", ""843599b6a1400155""]"
T1945,Art Acquisition,"Discussions and negotiations about purchasing artwork and collectibles from galleries, often mixed with social scheduling.",22,"[""fa53263ca95d5319"", ""39e9cc02395e4fad"", ""71d4213328bd45bc"", ""903329cececde7d7"", ""2bb394389c982a3d""]"
