project_id,name,description,n_emails,representative_emails
P207,Sun Devil Pipeline,"A natural gas pipeline development project involving facilities and compression infrastructure to transport gas from San Juan to Arizona/California markets, with ongoing cost analysis and contract negotiations with shippers.",281,"[""505efb21c0672aa8"", ""b3e09033e2128d10"", ""fd8767ec078f84d3"", ""1ce5593b5a148c7b"", ""955c95ff84e29552""]"
P208,Brownsville Operations Tracking,"Tracking operational performance, inventory, and purchasing data for the Brownsville facility during late 2000.",499,"[""bd3e3e9399413e1e"", ""6ccf91a98798b4b4"", ""deb6ebb813bdbf14"", ""45e0958aa7417313"", ""463d8e876a21c444""]"
P209,New Albany Sale,"Enron's attempt to sell the New Albany power plant to Allegheny, which ultimately declined due to technical limitations but resulted in a broader deal between the companies.",60,"[""5576980b69e1ad56"", ""a2f91389b5f83aee"", ""3f9a197a2e6d3e10"", ""c7c89bb3b82db10e"", ""a6c4858c36a0e65c""]"
P210,DASH Deal Review,"The project focuses on reviewing and approving DASH documents for various Enron investment transactions, including equity divestitures, coal supply agreements, and synfuel projects.",160,"[""abcf1bf19cf5a5ca"", ""1e875b9f739bdf3d"", ""7557dc2e9d3e993e"", ""d4733fd9ec30c65b"", ""3967072accb87dc4""]"
P211,South Cone Trading,Coordinating conference calls and tracking resolution of trading issues for Enron's offshore Brazil operations.,208,"[""e60993247ff90fd0"", ""faa7f7a9a5892fc2"", ""47e544a0664dfc21"", ""eeb57ca4de2b171e"", ""84e6d76b96ab69df""]"
P212,Sitara Operations,"Managing the availability, maintenance, and technical operations of Enron's Sitara internal application system.",51,"[""84e23e72b91eacee"", ""10ecc3660d0d81b2"", ""69e88208a062573b"", ""f4b8ef94d58859bd"", ""3d3693760e057d59""]"
P213,Contract Termination Tracking,"Coordinating and reconciling contract terminations, updating termination dates, and maintaining a master termination log.",192,"[""37f72b6a75c9be85"", ""42562cac0e6333a1"", ""b0cc172babce0ff1"", ""d2e659e9b28aac78"", ""34e5faed536c79e3""]"
P214,PGE Budget Planning,"Financial analysis, budget planning, and approval coordination for Portland General Electric's quarterly earnings and 2002 capital costs.",82,"[""6b3aee56282c88a0"", ""5ff395bcc464f755"", ""6c4290b2dd676c83"", ""0b01c2cbc9f2c843"", ""3a8a10955c8001e3""]"
P215,Tennis Coordination,Coordinating and scheduling recreational tennis games between Enron employees.,86,"[""9d16ebc6ec55ad88"", ""9a9c1627cd06cfeb"", ""0ac47b0b99c65b88"", ""12c75b526b478d6e"", ""2a5ef38201069cb4""]"
P216,Point on the Bow Gas,"A project to secure natural gas supply contracts at the Point on the Bow delivery point, with indicative pricing requests for various volumes and contract terms.",147,"[""04649f40b1e9d5ce"", ""217e5c12f9c17fe1"", ""663ddb8a55d7010b"", ""674102d16ed5a3eb"", ""1e72b26b53406799""]"
P217,BVI Sailing Trip,"A project to organize a sailing trip to the British Virgin Islands, handling boat charters, hotel reservations, and travel logistics.",92,"[""c75d847ce0b0e659"", ""5b0a04cd62599b37"", ""263a0be44bb35d92"", ""96f231af92e86605"", ""10049048b5e67088""]"
P218,Enron Law Conference,Organizing and tracking attendance for the annual Enron Law Conference and associated events.,192,"[""ea6c424d09c6cfb8"", ""6fd3df99ec8c3ccd"", ""35e2231385d4fd84"", ""e23370f80d16a852"", ""c2c3d7bd4f9c988c""]"
P219,Friday Festivities,Organizing and scheduling weekly Friday social activities for Enron employees.,113,"[""2e9cdeaa873a377c"", ""2ba03b8d21b888e5"", ""af31c60472a173a3"", ""1f8ba091875d94f2"", ""8f3e7446b44908be""]"
P220,Promotion and Transition,This project collects emails congratulating employees on their promotion to Managing Director and discussing the transfer of EOPS responsibilities.,192,"[""9807086ea6d93058"", ""a2e1af9eba70eac7"", ""21f02bc91da991fa"", ""87dc594d013e08d3"", ""7b22d76e0a2f4963""]"
P221,Worldwide Operations Review,"This project conducts a worldwide review of operations and controls across power, gas, and global products, as requested by senior management.",73,"[""d7f14c882a7772f2"", ""46520812ffe27762"", ""7839683149344fd0"", ""26bdb0a83c1cd131"", ""ab7b0ee5707223f9""]"
P222,Natural Gas Swap Unwinding,Coordinating natural gas swap trades and unwinding positions with counterparties.,66,"[""730469ce7022cc06"", ""47968f936c7e710b"", ""43d5091151c1b928"", ""2745e0e30fb5b39d"", ""ea81c3a2d496c895""]"
P223,Church Gourmet Dinner,"Organizing a church gourmet dinner by coordinating recipes, dish assignments, and volunteer contributions.",95,"[""1e230fde7ed4bf52"", ""af9eab03fa44df05"", ""6f0ee6ca327b7d00"", ""24149741311f511e"", ""484a8a32c46e85d6""]"
P224,Wine Order Management,"This project manages wine ordering, shipment coordination, and wine-related communications for Enron.",72,"[""2ff50edcfa14d9b7"", ""c4248488e0f12619"", ""0a5c27724af83970"", ""d1ad37ed79f3a359"", ""2b61fe27fc1d4c77""]"
P225,Enron Dinner Club,Organizing dinner and social events for Enron staff and associates.,221,"[""e03fe5fa05b90559"", ""44861538d069ccd6"", ""d2d9f71c07f19e68"", ""36d5a2ae0e92ac7f"", ""01dae49bb695a13f""]"
P226,Social Event Planning,"Coordinating personal social gatherings, weekend activities, and sharing entertainment recommendations among Enron employees and external contacts.",125,"[""2d348a7e4f56c782"", ""9da4877dcac7bbd8"", ""858c5cb0abd0b46c"", ""c753988c801299ff"", ""ef79c80753db458e""]"
P227,True Quote Integration,Project involving the integration of True Quote's services into EnronOnline and managing the associated equity and business partnership arrangements.,54,"[""8adae973b9c4057a"", ""d969e07c1aafe707"", ""54ec47dcd7535333"", ""1b4ec3b8dd94f442"", ""3c75f1e8f2626eb4""]"
P228,Office Banter,"Enron employees exchange personal banter about lunch, Spanish class, gossip, and hazing.",58,"[""cc45dba9d7810b68"", ""21fb253e2df8d3e7"", ""f5e1ee4a28275829"", ""13e18bbb45ee0e8c"", ""c2225126d87fb34a""]"
P229,Project Calendar Management,"Coordinating calendars and scheduling across multiple Enron projects and teams including EcoElectrica, SWAP, and EWS.",125,"[""91ed22074e660c7b"", ""cda36abbb287ffc0"", ""aaa2e2ce362ca8e7"", ""ddd71cf6a8bfa8ac"", ""fb748d5bf260b3cd""]"
P230,Social Plans Coordination,"Coordinating personal social activities such as weekend plans, dinner, movies, and bike retrieval between Tana Jones and Patti Young.",65,"[""2ce29ec15370a9b4"", ""c891c0e0c73291e8"", ""f47e0f3b7eab5ee9"", ""8bd3c538079a489f"", ""e154d551658f564f""]"
P231,Industry Index Development,Developing and maintaining industry indices for tracking market performance and creating analysis tools.,147,"[""c1e27dff7f7602b7"", ""b532f1670edc7bc9"", ""98b67d7053f6e220"", ""16a5be41f744b641"", ""bc46aee309bc6450""]"
P232,Weekly Schedule Management,A process for collecting and coordinating employee weekly schedules within Enron's Government Affairs department.,52,"[""a8e614a24dac225b"", ""8592fd95a1a4abba"", ""fe559fbaf6af920d"", ""48fba045fbc7953b"", ""2b35e9c0e1c94113""]"
P233,Timekeeping Management,The project involves tracking employee work hours and distributing timesheets to various internal departments.,149,"[""aa3f5feab9f4675b"", ""f74d0c72c0fd67e5"", ""ff377222458ec0ec"", ""6a2b2c345e2c6b39"", ""7eb7d335cf661567""]"
P234,Enron Online,"The project managed the development, branding, and legal protection of Enron's online trading platform, coordinating with Houston Street and K-Road partners.",183,"[""ae28361b88d7d8f1"", ""4ff53ceea975115f"", ""0b4a62ba677265d8"", ""2d4e8681a313e944"", ""bc14be5bcec3c420""]"
P235,Columbia Transmission Duty Coverage,Coordinates weekend and after-hours contact schedules and capacity release communications for Columbia Gas and Columbia Gulf Transmission.,84,"[""cc1f3f7ef8a984cb"", ""be6ce4d8fd461cec"", ""bc9c2a5a222526fc"", ""2ce846c931bc92ed"", ""34bfa8187669f122""]"
P236,Centana Transaction,"This project involves finalizing a deal with Centana Intrastate Pipeline Company for the sale of gas inventory and assets, including escrow arrangements and buyer negotiations.",156,"[""c0cd783fd6e176d4"", ""768f2bda9d42785f"", ""12b090e2addbd788"", ""7e065d610b8a6973"", ""d1d90e43314c106a""]"
P237,Approval Management System,This project manages approval requests and notifications for Enron's various projects and internal processes.,178,"[""b7e43e6e32ca0e87"", ""10e416e6baf712b5"", ""843599b6a1400155"", ""f4f2ecb741773134"", ""5a5b9bd0ed823f43""]"
P238,Vacation Scheduling,This project manages employee vacation requests and time-off approvals across the Enron organization.,254,"[""1020a83c14a621e2"", ""845e4ba18c2ba49a"", ""02bd036451185e0a"", ""490460879ab2ff3a"", ""d3f4ed1fc49b99f2""]"
P239,Out of Office,This project handles the collection and coordination of employee out-of-office notifications to maintain business operations during absences.,120,"[""70b3c3d7dc1b3c76"", ""7c02df8d56480e9c"", ""7e4e3eb293208c96"", ""f2eb488d783227b2"", ""591c86cb752725f6""]"
P240,EnronOnline Latin America,"Expanding Enron's online energy trading platform into Latin American markets including Brazil, Colombia, and Venezuela, including power marketing operations and regulatory compliance.",159,"[""7b70946a94a2a030"", ""2e101b974a467793"", ""7ebae48405311435"", ""36ab093b748709d4"", ""21881d3bb2c9f371""]"
P241,Eastrans Gas Nominations,"Managing daily natural gas nominations and redeliveries for the Eastrans pipeline system, including contract adjustments, contract changes, and operational issue handling.",124,"[""31070169eec54272"", ""78beb5b95310840b"", ""990107294e73d553"", ""ee2d478faca7d8ee"", ""798980f27ace1ab6""]"
P242,Tallahassee Gas Contract,"Managing the Enron gas supply contract with the City of Tallahassee, including handling contract disputes, volume adjustments, and potential termination.",52,"[""b2c1b444498841cb"", ""2a984e5a166ae375"", ""6e7520211f8b5c9e"", ""b89cdc7d878cb091"", ""3313306156a27767""]"
P243,Dominion Producer Settlement,"The project handles legal and contractual matters with local natural gas producers on Dominion Transmission, focusing on termination and release letters and resolving storage disputes.",82,"[""d85537c01a892002"", ""56971c59221f47a9"", ""70de9ca58e632a34"", ""4ef1469dd6adde59"", ""04634c1719dc5edd""]"
P244,Ponderosa Plant Operations,"Managing service events and coordination for the Ponderosa gas plant, including pipeline nominations with TXU/Lone Star and asset marketing activities.",143,"[""a53edded7e421530"", ""3f51986ec947461b"", ""13d0c04da59bee1c"", ""708ce727d318a489"", ""3cbe7fa0d3aea220""]"
P245,Lake Tahoe Ski Trip,"Planning a group ski vacation to Lake Tahoe in March, including coordinating accommodations, travel arrangements, and compiling winter gear packing lists.",152,"[""79080bd00f8255c9"", ""b5c269e572d87be6"", ""105e88aa7d094883"", ""8ba852bf558071d5"", ""997270d82540e372""]"
P246,Confidentiality Agreement Management,"This project involves reviewing, drafting, and managing confidentiality agreements for various business transactions and partnerships, including FCPA compliance clauses.",322,"[""3992ccc7f61510f4"", ""afc30aca8ed0fc39"", ""f889e73f47a928d5"", ""73141b65781f6255"", ""b2f70467f13c656c""]"
P247,NDA Management,This project involves managing and tracking Non-Disclosure Agreements with various external partners and vendors.,752,"[""02a22cde73292272"", ""8573643ce1ff2a2d"", ""84c4806db61ac51d"", ""f3cd78c3179b368d"", ""7dd9c3f94765d254""]"
P248,UBS Warburg Energy Launch,"Establishment of UBS Warburg Energy as a new business unit within Enron, including organizational structuring, staffing for energy trading operations, and regulatory filings for market-based rate authority.",469,"[""86a5edae4379ec75"", ""a5dd1dd1bc865bb8"", ""40a52d4b7381c1d8"", ""1ef075cf9dd54613"", ""e2db89cacb7bf589""]"
P249,Business Travel Coordination,"Managing travel arrangements including flight bookings and hotel reservations for Enron employees, specifically the Financial group.",649,"[""0fa9434a5c173a58"", ""4a67f8f51646fced"", ""32bc6276c55a4976"", ""60fff32123eedd37"", ""042e6e9885932bf2""]"
P250,Travel Deals Campaign,"A marketing campaign sending promotional emails about discounted travel deals, including cruises, flights, and vacation packages.",350,"[""eb0777a9408043b7"", ""2ce14e0a1b4c0d88"", ""a8cc7a22e50f32af"", ""890edfe0331bc96c"", ""d62fc8274494c900""]"
P251,ECC Booking Process,A coordinated effort to provide book administrators with guidelines and counterpart shortnames for booking trades to the Enron Capital & Trade (ECC) entity.,165,"[""750fde5fbe1599c5"", ""18b8dab5509cbc4c"", ""1d858dd2bd961ccf"", ""fbc5cc2dc46dc480"", ""d6da090b03e1f19c""]"
P252,Trade Count Monitoring,A system to track and report daily trade counts and volumes for natural gas and power markets.,110,"[""95a3c90027d2b785"", ""fa33b1b0cf717b36"", ""b3ebcc6c72010f93"", ""3874fd0c5def3a19"", ""58aa7933e07d1822""]"
P253,Gas Prepayment Tracking,"This project tracks daily gas flow activity and prepayment schedules with energy trading counterparties including Reliant, TXU, and Marathon/Quantum.",155,"[""637a58398a0ba980"", ""9a79f64566691160"", ""33ff1d06f9572c40"", ""a222b7b2ca2184b1"", ""f7963fda998f89ea""]"
P254,SEC VaR Reporting,"This project focuses on calculating and reporting SEC-required Value-at-Risk metrics for the firm's trading portfolios, covering commodities, derivatives, and total return swaps.",436,"[""ab70b643aac0edbb"", ""ec076be6ed324fc9"", ""72a962c36f2ffb7a"", ""feefccf3d4d0a84d"", ""5baad90059aa0003""]"
P255,ALP Electronic Trading Research,"A Rice University graduate student research project on electronic trading platforms in the energy industry, presented to Enron executives.",89,"[""442cf7a21aa78209"", ""90e68b03fba9f629"", ""e9243f510660a7c6"", ""91f737b923a1dbe0"", ""01baa6e309509bca""]"
P256,West Cash Trades,This project creates a web link on the Gas Fundy testing tab to display daily West region cash trade volumes by counterparty and maintains a Portland database for power plant outage and curtailment data.,77,"[""62c887f7d07e7cff"", ""12279b9b6eef72f6"", ""c647f5feb53a6ece"", ""9ea882f3ef485d75"", ""ae4d8d7dc45c531b""]"
P257,Oglethorpe Project,"The project handles invoice and power purchase downloads, sheet updates, and related coordination for Enron's Oglethorpe power plant.",90,"[""2fc7f8022c81462d"", ""15e133bfc7d57c45"", ""f883e122f476d355"", ""18d062bc53bc8242"", ""482838cee5002ef9""]"
P258,Conference Invitation Management,The project coordinates responses to invitations for various business and technology conferences and summits.,59,"[""22ccc0af6b137624"", ""bb9dbdbc37cb7d6a"", ""b3147e84f725d8a5"", ""cd0512272462ab13"", ""ba3dafe429727e1d""]"
P259,Tenaska IV Transport Settlements,"Managing transport invoice settlements, payment processing, and contract rate adjustments for the Tenaska IV gas transport partnership.",113,"[""a17eab2a2ca4a93d"", ""995a4a5e1fc18271"", ""da2a85d718dd478c"", ""4ecbf01006479bc2"", ""4b6fca52c3617be8""]"
P260,LLC Loan Structures,Internal coordination and legal documentation for special purpose entities (Enovate and MEH LLC) involving loan facilities and bank account arrangements.,220,"[""45800c69518cc446"", ""09ed62840d9909ba"", ""5a9400f9af00a1f6"", ""0387099f69ee312f"", ""1a33cb4fa30821ca""]"
P261,Energy Prepay Deal,"A project to provide notional offers and pricing for a prepay transaction involving energy commodities, including volume schedules and curve adjustments.",61,"[""1d371245db86e4a2"", ""6a8905fec91f0ca9"", ""82924866c07b7553"", ""4dc0733fb2865229"", ""93bf927a58342f79""]"
P262,Ken Lay Executive Scheduling,"Coordinating Ken Lay's meetings, travel arrangements, and official communications with government officials and dignitaries.",166,"[""01b3f27c133b91e3"", ""535eec2516a06aac"", ""4e73a412ef6533b8"", ""cf85250ec32b63d9"", ""ed827e3bda8490a7""]"
P263,Gas Interconnect Agreements,"A project to negotiate and draft interconnect agreements for gas delivery points between HPL, TUFCO, and other parties.",76,"[""690645c3d21879aa"", ""c8f5aa014a02b0a0"", ""4074472049e44ca7"", ""789639bd3092b617"", ""1a759fb694d5fbd7""]"
P264,Griffith Power Plant Coordination,"Managing the operational schedule, downtime, and energy imbalances of the Griffith Power Plant in collaboration with Duke Energy.",115,"[""5a76bffa04a36fe8"", ""8d8390258c830295"", ""ac7cf194bfdf0715"", ""95bbab97b65031cb"", ""3e3f9af56756ca3f""]"
P265,FCEL Contract Negotiation,"Legal review and negotiation of a fuel cell equipment purchase agreement between Enron and FuelCell Energy, Inc.",173,"[""d6ee8b5154202cb5"", ""678b60528500d1ea"", ""725b57502606b01c"", ""c7f5f27db966ec4a"", ""9acf2b3ee859e5a5""]"
P266,Boston Gas Capacity Release,"This project involves managing the release of Tennessee and Iroquois pipeline capacity back to Boston Gas, including contract negotiations with Boston Gas's attorneys and coordination with Iroquois and Keyspan.",87,"[""b6ca2e95c1eadfc0"", ""b1011525d4c8b70e"", ""7b752d5f9e894874"", ""8d580d0fd4d78059"", ""c2b51f2822bfb5c8""]"
P267,Coastal-El Paso Merger,"Integration of Coastal Merchant Energy L.P. into El Paso Merchant Energy L.P., including review of GISB agreements, trade rebooking, and legal documentation for the merger.",82,"[""fb97baf086076854"", ""35cb171d3611320d"", ""d66e9ca324369f7b"", ""a39a474db6d3f889"", ""cff48195619b78dc""]"
P268,Netco Integration Testing,"This project involves regression and end-to-end testing of the Netco system for gas and power trading transactions prior to go-live, including validation of global data, counterparties, and various transaction types.",70,"[""ef2c4bdc57fa697e"", ""4b289548369b3b2f"", ""a57d1cf796ace23e"", ""0132457f32152c76"", ""5b8bb25f331ce3bb""]"
P269,Legal Department Scheduling,"This project coordinates personal appointments, doctor visits, and office departure times for Enron's legal department staff.",89,"[""0ad9c332ce3b8ec6"", ""7c1c0e6f94b8bcce"", ""5f8ee87e1322695f"", ""0e9c1bac4f64e05f"", ""f5381616664c5d71""]"
P270,Wexford Hedge Fund,"A project to launch a new hedge fund family (Wexford) for Enron's financial trading, including multiple master funds and associated legal and operational coordination.",57,"[""58a4f66a523a29c5"", ""825ac00e51834df8"", ""b8f81730cb275079"", ""f5faafdfa51cdcc5"", ""74eea721ba348865""]"
P271,ETA Execution Management,"Managing the execution, amendment, and signing of Electronic Trading Agreements with various counterparties including Talisman, Modesto, and Crestar.",89,"[""320ff28b81b08150"", ""77245ba9519c5a36"", ""cfaf4d7360468335"", ""985a64ca1fa04f83"", ""10e55a6245d962e9""]"
P272,LRCI Inc. Management,"Managing corporate governance, regulatory filings, property documents, and pipeline operations for LRCI, Inc. across Louisiana parishes.",144,"[""f5cd65ef90371b33"", ""6100ca359f44904b"", ""3df917ccf7647844"", ""c32c80dce6b3c5e6"", ""7c88dda3f9d93849""]"
P273,Gas Volume Management,"The project tracks and reconciles gas deal volumes, meter allocations, and reporting for Enron's gas marketing operations.",853,"[""367d1a76e9d1509c"", ""0ee5134d76f4e078"", ""80b078b095d360e2"", ""021b136a63595a5c"", ""ff5a1cfc9a108ee3""]"
P274,University Scholarship Program,Enron's initiative to coordinate scholarship programs and recruiting efforts at Oklahoma and Texas universities to cultivate future employees.,180,"[""c62b8f72e6b0ccdb"", ""c95549be62f117db"", ""3b24b8be66fe0bd0"", ""9e3f9e47e639987a"", ""56aad2d7b02af1d7""]"
P275,Super Saturday Recruiting,Coordinating Enron's Super Saturday recruiting event for hiring associate and analyst candidates through interview scheduling and candidate logistics.,104,"[""9c375aa43523f75a"", ""f7460d0b0872bc7a"", ""7b907e1ce5b00e53"", ""81927cefb108df06"", ""4d2cc1f6bfe0ddc2""]"
P276,Energy Quote Exchange,The project gathers and consolidates energy price quotes from external brokers for the Northeast and Gulf regions to support Enron's trading activities.,58,"[""c4fdc4510ed405e5"", ""522ed9e9e8742411"", ""037ff724f19527ea"", ""5af343fe22f67ebe"", ""2fdc14e089736d66""]"
P277,Email Delivery Monitoring,A project to track and resolve undeliverable email messages in the Enron email system.,147,"[""1129361bfaa06a4c"", ""72c775a27ef0f407"", ""b626c197afbaa744"", ""ed10f192dae78157"", ""f6c65c019ba32565""]"
P278,Kay Mann Personal Communications,"A cluster of personal emails from Kay Mann discussing family activities, dependent care, social plans, and daily logistics.",284,"[""fa6aa25e0379bbea"", ""2f8ba7b66fe4968b"", ""ba5f772192bc56b9"", ""ce0b96a013f9150f"", ""936f57aff1120d06""]"
P279,Golf Game Scheduling,Coordinating recreational golf games and outings among Enron employees.,364,"[""6e9b2b93c06cf9d1"", ""ee5fcd591015e0aa"", ""6e83dd448681c58e"", ""4951bc3696553a8a"", ""78b777f58261afe9""]"
P280,Origination Tracking,"A project focused on calculating, tracking, and reconciling origination values across business books based on P&L data.",82,"[""b11c8bf3ff565850"", ""b2a9241728018724"", ""894723a44c81ff12"", ""b6fd56abb9652606"", ""bbd82d66a3619d24""]"
P281,Weather Data Integration,Integrating external weather data and forecasts into Enron's internal research portal to support energy trading decisions.,266,"[""3c5ae4597e99c29e"", ""3351d232a012dd0e"", ""b4128d5f8a05e48a"", ""622961550002af6b"", ""0f8f95e5a6b89d32""]"
P282,Alaska Gas Pipeline,"A proposed natural gas pipeline from Alaska's North Slope to lower-48 markets, coordinated with producers, TransCanada, and state officials.",82,"[""373fc79e820be842"", ""04bc8549f66cacb4"", ""84d483cec81ca287"", ""0bce547bcef54bb3"", ""742bafd373cec1f8""]"
P283,El Paso Capacity Allocation,Managing Enron's participation in FERC regulatory proceedings concerning El Paso's natural gas pipeline capacity allocation methodology at the SoCal/Topock delivery point.,126,"[""3519a031668dfd57"", ""0b24fd12f60cf4c1"", ""4db4841f573c3e54"", ""26def9da6f7f3cea"", ""228797eff23e57f6""]"
P284,Southern Comments,"Internal email thread discussing comments about Southern Company, featuring jokes about carrot comments and Neanderthals.",76,"[""963bc15c03325599"", ""602f22958c0178db"", ""38febf4ea575a9b8"", ""ca609bfb1c7e8d0c"", ""421ae21a3faaff42""]"
P285,Forward Curve Project,"This project manages the generation, distribution, and updating of natural gas forward price curves for trading and valuation purposes, including Keyspan and Southeast regional applications.",335,"[""e298110e24ef288d"", ""059bbd7287c817ed"", ""d185f15d57d0ff0d"", ""66801f7fa97f9f0a"", ""112d3bddd5d3fe5e""]"
P286,Yahoo Messenger Adoption,The project aims to increase Yahoo! Messenger adoption among Enron staff via personal invitation emails and promotional content.,125,"[""6344e38629d2037f"", ""5ba8cf1f3332081e"", ""518f954784715560"", ""f4757e0de52d7fe7"", ""0743052f2b2496d4""]"
P287,VEPCO Power Purchase,"Negotiating and structuring a power purchase agreement with Virginia Electric and Power Company (VEPCO), including contract terms, tax clauses, and interconnection arrangements.",277,"[""26734e5576f9570c"", ""089611e4f5c7877a"", ""c53c23d5bd146b58"", ""ddf7a8b1da1e33aa"", ""dbb7d98adb1de14c""]"
P288,Executive Viewer Reports,"A project focused on managing access to and publishing business reports (including gas reports, off-peak prices, positions, and heat rates) on the Executive Viewer platform.",164,"[""6e8f38af015f062a"", ""9d8454bff26caca4"", ""5a401a25ade362cf"", ""e7d1607676ec1d4f"", ""1d0a81642bbbd9bf""]"
P289,Property Sale Upgrades,Managing upgrades and sales price adjustments for a property sale.,76,"[""13540e6ec17b71a2"", ""4a6202157806cb36"", ""3b340f8c58b61ec4"", ""5c56941dc7a5d2fd"", ""55869863f0ad8ee6""]"
P290,EOL Ticker Project,"The project develops and maintains the EOL ticker application, mines trading data from Enron Online, and produces reports to support trading operations.",224,"[""68bc0090c9c1c295"", ""a0a653658c50f584"", ""59e63c731e73a73a"", ""cd44a805ab1787f1"", ""d55a5497c58416c9""]"
P291,CES Daily Requirements,Tracks and communicates daily gas volume nominations and revised schedules from CES to Enron for specified delivery points and dates.,110,"[""d973a940443c309a"", ""caf2f6251c8a24c8"", ""8c91b6df42ce996f"", ""c63dec8786f42d47"", ""a08b3395be3ca04f""]"
P292,New Gas Index Products,"This project handles the creation, approval, and launch of new natural gas index and basis swap products for US gas trading, covering regions like Southern California and the Gulf Coast.",100,"[""12f3e62ed3070471"", ""8ad2bc739867a165"", ""0170bf5490eecb80"", ""7f127b299a7afa34"", ""1e5f7dddbbbc15c6""]"
P293,Energy Product Approvals,Internal process for reviewing and approving new financial swap and option products for energy commodities in Enron's trading systems.,211,"[""62c75864fb8a1d69"", ""7b769f52ede9bdce"", ""ad56f4411b983778"", ""7121acdfe172f9d7"", ""847a62ddddfa6070""]"
P294,Energy Trading P&L,"This project involves reconciling profit and loss reports, managing trading positions, and tracking natural gas and propane contracts across Enron's trading operations.",109,"[""c6ebf69fe350cfd2"", ""b8ca6ce015ce56af"", ""a27b5f1aabfd5c42"", ""cfbc31c79884bd79"", ""fd93934a9f3cbce5""]"
P295,Book Officialization,Managing the officialization and setup of trading books across Enron systems to ensure proper position tracking and portfolio reporting.,488,"[""2b1e6380e11cc1ef"", ""0445fa4f3e0c8498"", ""60473f6c85b02462"", ""f5d02262726fa290"", ""cfe0774cc306bf32""]"
P296,MDEA Agreement,Contract negotiation to finalize the MDEA agreement with legal comments from Enron and external parties before a June deadline.,307,"[""752fd23723788bbd"", ""76616c8ade80b831"", ""b99fb1a5f3ce3b66"", ""2bb1d056b80367bc"", ""1a65447984ca9c1a""]"
P297,Peaking Plant Divestiture,"The project focused on divesting Enron's peaking plant assets, closing related deals, and exploring distributed generation opportunities at Cinergy.",77,"[""fc953c7a81b33ebc"", ""ce2a56ce57f14bd1"", ""07e5c795ea2eb232"", ""7d761e776cf158b9"", ""73f040c90756982f""]"
P298,Enron Credit Models,"The project focuses on developing, documenting, and reviewing credit risk models for Enron's default swaps and credit trading, including calculating default probabilities and preparing technical notes for audit.",130,"[""3ccda7d8cea929c9"", ""4caf161a28ffaaa4"", ""f70e9ba1bd343246"", ""263ae7914c0b7bd7"", ""8b2d3bdf6eee19fd""]"
P299,WTI Trading Simulation,Development of simulation models to test WTI crude oil trading strategies and assess profitability under various market conditions and trading parameters.,66,"[""87f06b06f9e11fa8"", ""85722744340763df"", ""7ab2590af431e126"", ""3e9d9c3da9b54dbf"", ""cb12239695095c5f""]"
P300,Trading Track Recruitment,"Organizing and conducting interviews, dinners, and offers for external candidates in the Trading Track hiring program.",228,"[""f17c133921c36eb5"", ""c481c7d38986c1ac"", ""bdad26ab96e89c8e"", ""f8bbcd715aff53ee"", ""88fecb7192885d0d""]"
P301,CES Transport Management,"The project coordinates CES retail and wholesale transport capacity, gas transfers to the TCO pool, and daily volume reporting for Enron's Customer Energy Services.",618,"[""8dd6b0140c360675"", ""652933f645f24ad7"", ""04d2bae4e3697ef4"", ""964a87f12f93492c"", ""aa871fa33e076ce3""]"
P302,Tennessee Zone 6 Nominations,This project coordinates monthly nominations and volume reporting for Tennessee Zone 6 citygate deliveries for Columbia Gas and Enron.,109,"[""71ff8c1cfcb86c25"", ""31b92d0890ed61c6"", ""f5c5fdf10be90439"", ""dc0f13b28ae95dc3"", ""5b1d0c25f31fadc0""]"
P303,Interview Scheduling,Organizing and managing interview appointments for job candidates across Enron's departments.,78,"[""87086f842a1c4144"", ""c69ef85f22fcd19e"", ""79a0718b1e38484b"", ""bac0b2539de3d733"", ""47c438b61ab13c48""]"
P304,Analyst and Associate Hiring,"A staffing initiative to recruit, place, and coordinate analyst and associate hires across Enron's business units for summer internships and full-time positions.",182,"[""f6c36c37fc314019"", ""fcaf0177157445ae"", ""cfc59d62dd64d954"", ""db7aedcb81a93b9d"", ""10bf8a1c5ea895af""]"
P305,Donor Outreach,A coordinated effort to secure a large donation from a key executive by leveraging personal relationships and engaging top leadership.,165,"[""796fc22e01b0a34d"", ""991a484507d3d0ea"", ""bf864b33dcb7944c"", ""3411ea7294751f53"", ""80e4d18692f20d0d""]"
P306,Dabhol Task Force,Coordinating regular conference calls and providing updates on legal and project matters for Enron's Dabhol power project in India.,515,"[""895ae080a758b651"", ""df97d2e2cb93d7b5"", ""bbd33dcd91a76c3a"", ""1d2d738e52a2d37f"", ""370af6ce0595c6d8""]"
P307,GE Conference Coordination,Coordinating and scheduling regular conference calls between Enron and GE (General Electric) teams.,113,"[""11f1e828195b4e65"", ""498251821234a081"", ""e107b88c8a6695e5"", ""3d4f2d50414cfcf5"", ""7b2b0548c241b538""]"
P308,SoCalGas Windowing Transition,"This project managed the transition from SoCalGas windowing process calculations to maximum operating capacity limits following the filing of Advice Letter 2837-A, including coordinating regulatory comments and operational changes across interstate pipelines.",55,"[""e6ee79381aaabdf3"", ""5b2bb574c9973279"", ""8813243fdac75e27"", ""6ce7912305b308d3"", ""d67385d021afbae2""]"
